,duration,country,stateresponse_sum,startyear,sources,notes
494,0,Mexico,-11,2015,"mexican police shot 16 unarmed protesters . the times london , april 21, 2015 tuesday, news; pg. 38, james hider;","exact date unclear. the federal police had earlier said that nine people had died in friendly fire during a stand off in january with a vigilante group in the town of apatzingan, in michoacan state...however, the crowd that came under fire were armed with nothing more than sticks, according to the weekly magazine proceso. quoting dozens of anonymous witnesses and citing video and audio recordings, the journalist laura castellanos said that police officers had first shot at about 100 people who were demonstrating in front of the city hall over plans to disband the rural police forces. some of the police allegedly shouted: kill them like dogs! dozens of people were arrested during the deadly clashes. hours later, police opened fire on a dozen pick up trucks full of locals who were chasing their convoy in an apparent attempt to free the detained protesters, the report said..."
7195,0,Ukraine,-12,2014,"ukrainian forces kill 3 pro russian demonstrators. the new york times, april 18, 2014 friday, section ; column 0; foreign desk; by andrew e. kramer;","while this protest involves militants, the language indicates this was a protest event & civilians were involved. ukrainian security forces killed three pro russian activists, wounded 13 and took 63 captive in a firefight overnight in the eastern city of mariupol, the interim ukrainian interior minister said on thursday. the clash was the most lethal so far in the east of the country. the minister, arsen avakov, said the protesters had tried to storm a base used by troops in the newly formed national guard, which has drawn from volunteers who took part in last winter s protest movement against the government. a crowd made up of civilians as well as militants formed outside the base...the attackers threw molotov cocktails and opened fire on the perimeter guards at the base, mr. avakov said. about 300 people were in the crowd. after warnings, in accordance with our rules, and after repeat attacks, we opened lethal fire, mr. avakov said in a statement..."
7783,0,Senegal,-15,2014,"press and media; one dead, several others injured in police student clashes. africa news. august 19, 2014 tuesday : 257 words.;","bassirou faye, a senegalese student of the universit cheikh anta diop de dakar ucad , was on august14, 2014, shot dead by an unidentified policeman. the incident happened as a result of a demonstration by some students of the university to demand payment of scholarship arrears for the 2013 2014 academic year. the police reportedly dispersed the demonstrators by firing tear gas. some of the students fled to their halls of residence and started throwing stones through their windows."
8155,0,Guinea,-13,2001,"guinean police kill two, injure five in crackdown on protest agence france presse english, 168 words four high school students shot in guinea demo taken to conakry agence france presse english, 299 words ;","? police shot dead two people and injured five during a student protest in northern guinea, a police official said wednesday, a day after the demonstration. several hundred secondary school students on tuesday took to the streets of mali, some 480 kilometres 290 miles north of the capital, to protest against a lack of teachers in their schools. one group of students headed to the local offices of the education ministry where police began firing into the air to disperse the crowd, the police official, who asked not to be named, told afp. the official said the police became overwhelmed and started firing at the protesters, killing a student and a by stander on the spot.? ? ? the demonstration ended in bloodshed, with police beating up two people, including a student.? ?"
8212,0,Guinea,-12,2013,"teen protester shot dead by guinea police: father agence france presse english, november 25, 2013 monday 5:41 pm gmt, 325 words ;","police shot dead a teenage protester on monday as an anti government demonstration flared into violence, according to medical sources and relatives. the 19 year old was hit by a bullet to the neck fired by a police officer in the west african nation s capital conakry, his father mamadou dian barry told afp. at least 17 civilians were wounded, including four by gunshots. they have been sent to three hospitals, alimou souare, a doctor treating some of the protesters, told afp. he said other protesters had suffered broken ribs or had been kicked and beaten by batons."
8218,0,Guinea,-15,2015,"anti government activists launch fresh protests in guinea agence france presse english, april 20, 2015 monday 7:30 pm gmt, 696 words five shot as guinea opposition protests daily independent lagos , april 21, 2015, 160 words;","guinean security forces took to the streets of the capital in huge numbers on monday as anti government activists staged fresh protests following deadly clashes last week. calling for a disputed election timetable to be scrapped, hundreds of youths burnt tyres and barricaded roads across conakry as police responded with tear gas, leading to a number of violent confrontations youths near diallo s home attacked police who responded with tear gas and baton charges, wounding at least two protesters, witnesses told afp protesters said police made several arrests and a youth leader was wounded."
8238,0,Guinea,-12,2019,"9 dead as guineans protest president s bid to extend power, associated press international, october 16, 2019 wednesday 3:16 pm gmt, international news, 470 words, by boubacar diallo, associated press, conakry, guinea","at least nine people have been killed in three days of protests in guinea against the president s bid to extend his time in power, while hospitals are overwhelmed with scores of people wounded, a doctor told the associated press on wednesday. some of the bullet wounds indicate that people were shot at close range, dr. diallo mamadou bella said. he is volunteering to treat the more than 70 wounded protesters at a hospital in the suburbs of the capital, conakry, where many of the protests have been taking place. it is not clear how many people have been killed and wounded overall in the protests, which have drawn thousands of people into the streets. president alpha conde s mandate ends in december 2020 but he seeks a referendum to allow a third term in the west african nation of some 12 million people. the national front for the defense of the constitution, a coalition group, called for the demonstrations. its leader, abdourahmane sanoh, and at least five others have since been arrested and were in court on wednesday, charged with acts to compromise public security and disrupt public order. the group, anticipating a crackdown by security forces, had encouraged youth to protest in their districts instead of gathering all in one place. it had called on security forces, which have had a history of violence, to show restraint. note: the actual number of protesters was not included in the source, and is based on prior coding decisions."
8243,0,Guinea,-13,2019,"guinea police kill three in anti conde protest: hospital, agence france presse english, november 15, 2019 friday 1:35 pm gmt, 293 words, conakry, nov 15 2019","guinea security forces killed three people on thursday during a protest against president alpha conde, opposition and doctors said. doctors initially said police had shot dead one teen, but on friday, the opposition and hospital sources said three people died. the update brings to the protest death toll in the west african state to at least 20 since october 14. one gendarme has also been killed. guineans wearing the red colours of the opposition flooded conakry s streets again thursday after a call by the national front for the defense of the constitution fndc , the alliance leading the protests. clashes erupted along the route of the march and spread to several neighborhoods. the fndc said alpha souleymane diallo, abdouramane diallo, and 32 year old amadou oury barry, were killed by security forces during raids outside the area of the protest. another 66 people were injured, including 26 shot by police, abdoulaye oumou sow, an fndc leader told afp. all three deaths were confirmed by a medical source at the sino guinean friendship hospital. police used water cannon and tear gas to break up the protests, and a bus was torched during clashes, images from the scene showed. the security ministry said the police action came after the demonstrators threw stones at security forces. note: the actual number of protesters was not included in the source, and is based on prior coding decisions."
8358,0,Liberia,-15,2011,"on eve of election, liberia protests turn violent the new york times, november 8, 2011 tuesday, section a; column 0; foreign desk; pg. 4, 1217 words, by simon akam and emily schmall political tensions dampen liberia s runoff vote the new york times, november 9, 2011 wednesday, section a; column 0; foreign desk; pg. 6, 818 words, by emily schmall; josh kron contributed reporting from nairobi, kenya cdc, police tune down tension the analyst, november 10, 2011 thursday, 950 words riot suspects released new democrat monrovia , november 10, 2011 thursday, 165 words, peter n. toby ;","notes: hundreds of protesters clashed with the police and united nations peacekeepers here in the liberian capital on monday afternoon, leaving at least one person dead the day before a presidential runoff that the opposition has vowed to boycott. businesses shuttered and pedestrians fled the streets as united nations armored vehicles roared down tubman boulevard, monrovia s main artery. a running battle developed outside the headquarters of the chief opposition party, pitting its supporters against peacekeepers and liberian security forces, who fired tear gas and live rounds. claiming fraud in the first round of elections last month, the opposition candidate, winston tubman, has vowed not to take part in tuesday s runoff against president ellen johnson sirleaf, who won the nobel peace prize in the midst of a heated re election campaign. mother ellen johnson sirleaf, she s responsible, said george weah, a former international soccer star who is the opposition s vice presidential candidate. for shooting innocent liberians, it s wrong. the opposition headquarters were crammed with frenzied supporters after the clashes, and the body of a young man shot through the head was laid out in an upstairs room with other wounded. liberia s justice minister, christiana tah, said the elections would go ahead on tuesday as scheduled. she confirmed that one person was dead and three were injured. but at the city s catholic hospital, there were at least seven people injured from the clashes, five with gunshot wounds. we were dancing in the road; they started beating us, said solomon gardea, 30, an unemployed opposition supporter who said a bullet skinned the back of his head as he turned to run away. we were just marching for peace. hundreds of demonstrators supporting mr. tubman s boycott took to the streets on monday, throwing rocks and setting tires ablaze. the liberian national police responded with tear gas and gunfire, chasing demonstrators off the main road. about 50 people were taken into police custody, said a police spokesman, george bardue. police said the party had violated the prohibition and not only chose to hold unauthorized vigil and rallies but also allowed some of its partisans to stray unto the streets and set up roadblocks thereby hampering the free flow of traffic and the movement of pedestrians. it is not clear why the party chose to organize the event without a permit to do so, but its executives said the assembly was simply a peace vigil designed to draw international attention to the fraud in the first round of voting and that it was not a march, or demonstration, for which it should have obtained a permit. cdc officials negotiated the release of 84 of their partisans arrested following a riot that left one person killed."
8613,0,Cameroon,-15,2001,"three secessionists killed protest in cameroon agence france presse english, 188 words clashes in cameroon between police, secessionists leave three dead associated press international, october 1, 2001 monday, international news, 286 words, emmanuel tumanjong; associated press writer ;","the second article alludes to the fact that the two protests were planned together by the secessionist movement. this is coded as political process first and secondarily social restriction. the social restrictions imposed upon the english speaking cameroons are why they wish to secede from the country. three english speaking secessionists were killed and five injured on monday when security forces broke up a demonstration in the northwestern town of kumbo, hospital sources told afp. hundreds of demonstrators had gathered in the streets of bamenda, 400 kilometers 300 miles west of yaounde, and kumbo, 110 kilometers north of bamenda, carrying the blue and white flag of cameroon s english speaking secessionists, according to witnesses who spoke to afp by telephone. they said that in kumbo, security forces manhandled demonstrators and fired shots which resulted in the deaths and injuries. cameroon s communications minister jacques fame ndongo told afp that security forces were responding to attacks by demonstrators armed with guns the secessionist southern cameroons national council defied a government ban on public protests and organized marches in the french speaking nation s only two english speaking provinces. nfor nfor, vice president of the secessionist movement, told the associated press that police fired on a crowd of about 500 demonstrators in kumbu, about 430 miles 700 kilometers west of the capital, yaounde, killing three civilians and wounding five others. a senior police official, speaking on condition of anonymity, confirmed police and paramilitary forces fired on the crowd in kumbu to try to break up thedemonstration. he said 40 people had been arrested there. nfor spoke by cellphone from a jail in bamende northwest of kumbu where he had been arrested with about 100 other secessionist advocates who also took to the streets to protest. nfor said four civilians had been wounded in clashes between police and secessionists in bamende."
8632,1,Cameroon,-11,2016,"violent clashes in english speaking cameroon agence france presse english, november 23, 2016 wednesday 1:56 pm gmt, 348 words riots erupt in cameroon daily mirror, november 24, 2016 thursday, news; pg. 6, 45 words;","violent clashes between police and protesters from cameroon s english speaking minority broke out early this week in the northwestern city of bamenda, two people were shot dead monday and tuesday in violence between police and protesters. a third person was killed during fighting between rival groups. police stepped in when the demonstrators set fire to tyres on the streets. the protesters first demanded that the government delegate or government appointed mayor be sacked but then demanded the position itself be abolished. at least 100 people have been arrested after days of protests against the use of french in courts and schools in english speaking parts of cameroon."
8842,0,Gabon,-11,2014,"1. at least one killed in clashes at gabon opposition rally. agence france presse english. december 20, 2014 saturday 9:56 pm gmt : 409 words. 2. gabon police break up opposition rally, 1 killed. associated press international. december 21, 2014 sunday 9:04 am gmt : 138 words.;","a student was killed in clashes at an opposition rally in gabon s capital, where police fired tear gas to disperse protesters demanding the resignation of president ali bongo ondimba. the opposition claimed three people had died and hundreds were injured in the violence, though there was no official confirmation of those figures. at least 20 people were arrested in scuffles between police and demonstrators, an afp journalist saw."
9014,0,Congo Kinshasa,-11,2016,"drc protests grow as kabila clings to power despite his term ending; opposition leader calls on congolese to peacefully resist illegitimate leader amid clashes with security forces the guardian, december 20, 2016 tuesday 12:24 pm gmt, world news, 1021 words, jason burke in kinshasa at least 20 reported dead as congolese security forces fire on protesters the new york times , december 20, 2016 tuesday 00:00 est, world; africa, 265 words, reuters nearly 300 are arrested in congo as protests appear to wane the new york times, december 22, 2016 thursday, section a; column 0; foreign desk; pg. 14, 630 words, by reuters;","hundreds of protesters have clashed with security forces in the democratic republic of the congo after the mandate of the president, joseph kabila, expired with no sign of the 45 year old former guerrilla commander leaving power. in kinshasa, the capital of the vast resource rich central african nation, police and soldiers fired live ammunition as opposition activists burned tyres, attacked an office of the ruling party and threw stones. violence was also reported in the southern city of lubumbashi."
9078,0,Uganda,-11,2011,"deadly day of ugandan rioting follows opposition leader s arrest; the arrest of ugandan opposition leader kizza besigye set off riots across kampala friday in which at least two dozen people were killed. the christian science monitor, april 29, 2011 friday, 635 words, max delany correspondent protests over ugandan opposition leader s treatment leave two dead the irish times, april 30, 2011 saturday, world; pg. 8, 476 words, jody clarke in nairobi ;","sitting outside his laundry shop in a usually tranquil suburb of uganda s capital, kampala, david ssentongo points at the smoldering ash of tires that locals set ablaze in protest and rage. the people are angry, mr. ssentongo says. they are angry because of the way the presidential candidate dr. kizza besigye was arrested yesterday. but they are also angry because prices are rising, because they can t afford to catch the bus to work, because they can t buy milk for their children. on friday, kampala woke up to a day of rioting. from downtown markets to the suburbs, protesters set up roadblocks made out of rubble and burning tires and the police and military fired live rounds at demonstrators. by the early evening, at least two people had been shot dead and 143 were hospitalized, including a 2 year old child with gunshot wounds, the ugandan red cross said. the internal affairs minister put the number of arrested at 360. the main spark for the riots was the brutal arrest of dr. besigye, uganda s main opposition leader. for the past three weeks, besigye, and other opposition leaders have been attempting to walk to work in protest of the soaring cost of living. in march, inflation on food rose to almost 30 percent and on fuel to more than 10 percent. police, who have banned all protests, arrested besigye three times, jailed him for six days, and allegedly shot him in the finger with a rubber bullet."
9456,0,Tanzania,-11,1998,"tanzania; rule of law must not be cast to the winds. africa news. february 23, 1998 : 584 words. ;","dar es salaam riots in the densely populated kinondoni district of dar es salaam on february 13 in which two people died, dozens were injured and 130 arrested, were said to involve muslim zealots, the jobless, homeless, school drop outs and drug addicts."
9460,1,Tanzania,-12,2001,"voting dispute turns violent in zanzibar the new york times, january 28, 2001 sunday, section 1; column 5; foreign desk; pg. 6, 165 words, reuters 17 die as poll demo erupts the observer, january 28, 2001, observer news pages, pg. 21, 259 words, burhan wazir 13 feared dead as police and poll protesters fight running battles the sunday herald, january 28, 2001, pg. 18, 250 words world; in brief the washington post, january 28, 2001 sunday, a section; pg. a23, 724 words zanzibar clashes spread to mainland the guardian london , january 29, 2001, guardian foreign pages, pg. 14, 242 words, james astill 32 die in zanzibar as police and protesters clash the new york times, january 29, 2001 monday, section a; column 1; foreign desk; pg. 3, 311 words, agence france presse ;","protesters seeking new elections fought running battles with the police today as violence spread across tanzania and left as many as 17 people dead. opposition officials and doctors said 16 protesters had been killed on zanzibar s main islands of unguja and pemba as demonstrations across the archipelago calling for a rerun of disputed elections turned violent. one member of the security forces was decapitated, a police official said."
